,Robot,Traditional_Scoring_High,Traditional_Scoring_Low,Technical_Scoring,Autonomous_Scoring,Endgame,Fouls,Defense,Competition,Year
58,frc2815,0.10012572865470339,0.0,1.0,0.6670329670329671,0.7192307692307693,0.6202908708603471,0.43264349863334645,2017alhu,2017
59,frc3139,0.16047548291233282,0.0,1.0,0.4558441558441559,0.6954545454545454,0.0,0.6534379326257498,2017alhu,2017
60,frc5005,0.15723355396460892,0.029912023460410556,1.0,0.8324675324675326,0.5409090909090909,0.7972665148063781,0.47900323027226616,2017alhu,2017
61,frc5045,0.04992570579494799,0.16817204301075273,1.0,0.5242857142857144,0.51,0.27334851936218674,0.6020304568527919,2017alhu,2017
62,frc6491,0.0,0.025591397849462367,1.0,0.5171428571428572,0.51,0.7494305239179954,0.8893401015228426,2017alhu,2017
63,frc4451,0.020802377414561663,0.030465949820788533,1.0,0.7273809523809524,0.8854166666666667,0.39863325740318895,0.7165820642978006,2017alhu,2017
64,frc4924,0.003566121842496285,0.025591397849462367,1.0,0.5514285714285715,0.6375000000000001,0.6492027334851936,0.6253807106598983,2017alhu,2017
65,frc6366,0.3595839524517087,0.024372759856630823,1.0,0.7976190476190477,0.6375000000000001,0.35687167805618825,0.3620981387478849,2017alhu,2017
66,frc1369,0.00548634129614813,0.28403639371381306,1.0,0.7318681318681319,0.8173076923076924,0.42754512002803574,0.0,2017alhu,2017
67,frc3319,0.041010401188707274,0.0,1.0,0.5657142857142858,0.7650000000000001,0.49886104783599083,0.4832487309644667,2017alhu,2017
68,frc4256,0.010698365527488854,0.0,1.0,0.6590476190476191,0.7650000000000001,0.32346241457858765,0.3153976311336716,2017alhu,2017
69,frc5721,0.22644873699851412,0.0,1.0,0.6342857142857142,0.6800000000000002,1.0,0.6934010152284263,2017alhu,2017
70,frc2783,0.006293156192640503,0.0,1.0,0.680672268907563,0.9,0.8629237572021976,0.3517467900865931,2017alhu,2017
71,frc79,0.052442968272004196,0.0,1.0,0.5605042016806723,0.9,0.8629237572021976,0.279486413854882,2017alhu,2017
72,frc4965,0.02852897473997028,0.0,1.0,0.6714285714285715,0.9633333333333335,0.49050873196659067,0.5698815566835871,2017alhu,2017
73,frc1539,0.046359583952451704,0.032903225806451615,1.0,0.8028571428571429,0.4675,0.6492027334851936,0.6954314720812181,2017alhu,2017
74,frc3814,0.003566121842496285,0.02437275985663083,1.0,0.8866666666666667,0.935,0.6408504176157934,0.5604060913705581,2017alhu,2017
75,frc1108,0.2139673105497771,0.32598566308243726,0.9786324786324786,0.75,0.6729166666666667,0.7744874715261959,0.5397631133671741,2017alhu,2017
76,frc5842,0.19910846953937594,0.0,0.9786324786324786,0.6226190476190477,0.7437500000000001,0.5447987851176918,0.2758037225042302,2017alhu,2017
77,frc1706,1.0,0.02132616487455197,0.9358974358974359,0.7761904761904762,0.7437500000000001,0.7953682611996963,0.7275803722504229,2017alhu,2017
78,frc6396,0.0713224368499257,0.21935483870967742,0.9633699633699634,0.6,0.7589285714285715,0.8102831109664823,0.6185641769398115,2017alhu,2017
79,frc2010,0.0013715853240370325,0.025310173697270472,0.9802761341222881,0.6648351648351649,0.9153846153846155,0.5431925705274225,0.27957828973057414,2017alhu,2017
80,frc2973,0.18722139673105498,0.5556989247311829,0.8974358974358974,0.6385714285714286,0.5525000000000001,0.6492027334851936,0.6883248730964469,2017alhu,2017
81,frc4707,0.08023774145616643,0.01096774193548387,0.9230769230769231,0.3628571428571429,0.51,0.19817767653758533,0.49238578680203066,2017alhu,2017
82,frc5616,0.0,0.0,0.9230769230769231,0.3542857142857143,0.6375000000000001,0.6492027334851936,0.513705583756345,2017alhu,2017
83,frc2556,0.00548634129614813,0.0,0.960552268244576,0.4087912087912088,0.7192307692307693,0.7744874715261959,0.4045294806716128,2017alhu,2017
84,frc6055,0.14145616641901934,0.02193548387096774,0.9487179487179488,0.8323809523809523,0.8783333333333334,0.6074411541381929,0.28223350253807095,2017alhu,2017
85,frc4740,0.1426448736998514,0.13161290322580646,0.9487179487179488,0.3642857142857143,0.4250000000000001,0.49886104783599083,0.5106598984771573,2017alhu,2017
86,frc538,0.28172362555720654,0.10236559139784947,0.9487179487179488,0.32142857142857145,0.8500000000000002,0.7744874715261959,0.3939086294416246,2017alhu,2017
87,frc6373,0.10876671619613669,0.0,0.9487179487179488,0.3914285714285714,0.38250000000000006,0.6241457858769931,0.6385786802030459,2017alhu,2017
88,frc1319,0.08705532733152695,0.3096774193548388,0.9849170437405732,0.6899159663865546,1.0,0.7892268524721961,0.28486115258286077,2017alhu,2017
89,frc3959,0.019928327943361593,1.0,0.9849170437405732,0.7764705882352941,1.0,0.6860511858501943,0.40250821140639,2017alhu,2017
90,frc5551,0.10341753343239225,0.0,0.9743589743589743,0.44000000000000006,0.4250000000000001,0.8496583143507973,0.7593908629441626,2017alhu,2017
91,frc5058,0.05705794947994057,0.0,0.9743589743589743,0.6142857142857143,0.51,0.5740318906605922,0.7543147208121828,2017alhu,2017
92,frc2386,0.21575037147102524,0.003655913978494624,0.9743589743589743,0.4414285714285714,0.6375000000000001,0.39863325740318895,0.6345177664974617,2017alhu,2017
93,frc547,0.05349182763744428,0.5630107526881721,0.9743589743589743,0.53,0.5525000000000001,0.7744874715261959,0.6223350253807106,2017alhu,2017
94,frc4013,0.0,0.0,0.9743589743589743,0.2442857142857143,0.3400000000000001,0.47380410022779046,0.7604060913705585,2017alhu,2017
95,frc5858,0.03031203566121842,0.0,0.9743589743589743,0.6242857142857143,0.6800000000000002,0.09794988610478343,0.5654822335025378,2017alhu,2017
96,frc3861,0.05527488855869243,0.0,0.9743589743589743,0.4614285714285714,0.4675,0.32346241457858765,0.6923857868020304,2017alhu,2017
97,frc6107,0.03744427934621099,0.04021505376344087,0.9743589743589743,0.56,0.4675,0.6241457858769931,0.8456852791878176,2017alhu,2017
98,frc1772,0.4030150753768844,0.023391812865497075,1.0,0.7269039651150998,0.9752321981424149,1.0,1.0,2017ausc,2017
99,frc3132,0.31295365717476264,0.12345679012345678,1.0,0.911153928494969,0.911764705882353,0.8142857142857143,0.6709129868964278,2017ausc,2017
100,frc4253,0.06402601241501625,0.05228758169934641,1.0,0.699081944916695,0.8719723183391004,0.729891956782713,0.0,2017ausc,2017
101,frc4537,0.06683417085427133,0.0,1.0,0.4404073768235618,0.9453781512605043,0.7699708454810495,0.43239744403415586,2017ausc,2017
102,frc4613,1.0,0.21052631578947367,1.0,0.822634621235169,0.9195046439628483,0.8163265306122449,0.538267366720517,2017ausc,2017
103,frc4817,0.08729361091170135,0.0,1.0,0.7134599504541701,0.6050420168067226,0.6868804664723033,0.9961379240710826,2017ausc,2017
104,frc5331,0.05616316878510197,0.4183006535947713,1.0,0.6537458914201519,0.8096885813148789,0.7162064825930372,0.08153271405492687,2017ausc,2017
105,frc6062,0.10502512562814068,0.0,1.0,0.4482980089916506,0.5294117647058824,0.6397959183673468,0.6577771607431343,2017ausc,2017
106,frc6083,0.013479160508424473,0.1568627450980392,1.0,0.4189051343080585,0.4359861591695502,0.6477791116446578,0.10934975767366707,2017ausc,2017
107,frc6522,0.06524288107202678,0.0,1.0,0.5831727681438664,0.4852941176470589,0.9693877551020408,0.8330724959612277,2017ausc,2017
108,frc6525,0.05251256281407034,0.75,1.0,0.6445086705202312,0.4963235294117647,0.8821428571428571,0.3897383632875607,2017ausc,2017
109,frc6579,0.04893216080402009,1.0,1.0,0.871868978805395,0.8933823529411765,0.7803571428571429,0.5120374343699514,2017ausc,2017
110,frc6523,0.39296482412060296,0.14035087719298245,0.9473684210526316,0.743940776797485,0.6408668730650156,0.6081632653061224,0.2095617932148625,2017ausc,2017
111,frc6118,0.13844221105527635,0.0,0.9572649572649573,0.4393063583815029,0.3088235294117647,0.5428571428571428,0.6401117393645666,2017ausc,2017
112,frc4801,0.028643216080402004,0.0,0.9358974358974359,0.5061014771997431,0.22058823529411764,0.0,0.17537526925148053,2017ausc,2017
113,frc4739,0.09820531227566401,0.4761904761904762,0.9633699633699634,0.5857418111753372,0.5294117647058824,0.553935860058309,0.2728262750980842,2017ausc,2017
114,frc5087,0.013639626704953337,0.0,0.9633699633699634,0.2180016515276631,0.8319327731092437,0.8696793002915452,0.5698383048696054,2017ausc,2017
115,frc5593,0.1500358937544867,0.09523809523809523,0.9633699633699634,0.4227910817506193,0.7184873949579832,0.33790087463556845,0.28097954650357687,2017ausc,2017
116,frc6035,0.33689877961234743,0.09523809523809523,0.9633699633699634,0.47563996696944677,0.3781512605042017,0.9527696793002915,0.15984522847911392,2017ausc,2017
117,frc6520,0.069562096195262,0.3174603174603175,0.9633699633699634,0.3512248830167905,0.4915966386554622,0.48746355685131204,0.11209035310408476,2017ausc,2017
118,frc4774,0.14048815506101936,0.34920634920634924,0.9285714285714286,0.635287641067988,0.4915966386554622,0.8862973760932945,0.6513710189245326,2017ausc,2017
119,frc6204,0.069562096195262,0.34920634920634924,0.9285714285714286,0.49986237269474265,0.5672268907563025,0.553935860058309,0.5314014539579967,2017ausc,2017
120,frc5584,0.04637473079684134,0.031746031746031744,0.9816849816849816,0.48224607762180016,0.453781512605042,0.6702623906705539,0.8132716939764598,2017ausc,2017
121,frc5893,0.16094759511844933,0.06349206349206349,0.9816849816849816,0.3864574731626755,0.41596638655462187,0.9029154518950437,0.3776540503115626,2017ausc,2017
122,frc5983,0.10638908829863603,0.0,0.9816849816849816,0.5516102394715111,0.5294117647058824,0.7367346938775511,0.20294109162243287,2017ausc,2017
123,frc6061,0.189893914014517,0.07407407407407407,0.9857549857549858,0.9205737529436951,1.0,0.8013605442176871,0.7914002198887097,2017ausc,2017
124,frc6191,0.18246789503070907,0.2962962962962963,0.9857549857549858,0.7039177906229929,0.5588235294117647,0.37482993197278913,0.39098400197451105,2017ausc,2017
125,frc5985,0.12292713567839193,0.4444444444444445,0.9839743589743589,1.0,0.8933823529411765,0.6349489795918368,0.4835009844507272,2017ausc,2017
126,frc3132,0.8005847953216374,0.09195402298850575,1.0,1.0,0.7147147147147147,0.6274733637747337,0.3936452178017412,2017ausp,2017
127,frc4614,0.08333333333333334,1.0,1.0,0.4567068843151171,0.5360360360360361,0.6185787671232876,0.6796558015412683,2017ausp,2017
128,frc4774,0.01929824561403509,0.04597701149425287,1.0,0.5699077359829667,0.6636636636636637,0.6274733637747337,0.29604516697074446,2017ausp,2017
129,frc5087,0.027819548872180452,0.1921182266009852,1.0,0.5137382135252966,0.7876447876447876,0.03534735812133059,0.17844013677687365,2017ausp,2017
130,frc5331,0.015384615384615385,0.03183023872679045,1.0,0.5945296718895016,0.6715176715176716,0.9203108535300316,0.1289173207317146,2017ausp,2017
131,frc5606,0.05506072874493927,0.11140583554376657,1.0,0.6574220669323579,0.812889812889813,0.5754741833508957,0.6941489194573092,2017ausp,2017
132,frc5648,0.5362573099415204,0.0574712643678161,1.0,0.8736692689850958,0.6636636636636637,0.6274733637747337,0.48275830769091127,2017ausp,2017
133,frc5663,0.04148606811145512,0.14604462474645033,1.0,0.5688640253830418,0.7837837837837839,0.773972602739726,0.2794706314843559,2017ausp,2017
134,frc5985,0.04891640866873065,0.2190669371196755,1.0,0.723667181563896,0.8918918918918919,0.8304794520547946,0.19320316967567977,2017ausp,2017
135,frc6050,0.037770897832817334,0.19472616632860043,1.0,0.688348014862439,0.7837837837837839,0.9623287671232877,0.10783432726084431,2017ausp,2017
136,frc6432,0.07368421052631578,0.015915119363395226,1.0,0.31741005623191576,0.6361746361746362,0.9942044257112751,0.2981342650487326,2017ausp,2017
137,frc6476,0.039676113360323895,0.0,1.0,0.41371403614128954,0.49480249480249483,0.6986301369863014,0.24172861694306017,2017ausp,2017
138,frc6508,0.03405572755417957,0.03651115618661258,1.0,0.5846449296539056,1.0,1.0,0.18781145331263763,2017ausp,2017
139,frc6509,0.09022556390977444,0.02955665024630542,1.0,0.5684882895670689,0.5579150579150579,0.7215019569471625,0.6672890870260368,2017ausp,2017
140,frc6510,0.06873065015479876,0.12170385395537528,1.0,0.6710641673276835,0.8378378378378378,0.773972602739726,0.0,2017ausp,2017
141,frc6579,0.055639097744360905,0.14778325123152714,1.0,0.6935009631957822,0.8532818532818534,0.3326810176125245,0.2482757010981824,2017ausp,2017
142,frc1772,0.04653739612188366,0.38112522686025413,0.9865047233468286,0.7994471629748608,0.8947368421052632,0.6817772170151406,0.1637379127092293,2017ausp,2017
143,frc4253,0.034903047091412745,0.29401088929219604,0.9865047233468286,0.7530536774868328,0.9914651493598862,0.6817772170151406,0.23851250542826272,2017ausp,2017
144,frc6434,0.03434903047091413,0.4791288566243194,0.9865047233468286,0.5863060774718912,0.8221906116642959,0.9008651766402307,0.1766023587684183,2017ausp,2017
145,frc6769,0.1215311004784689,0.018808777429467086,0.9067599067599068,0.4111232982773082,0.29238329238329236,0.523972602739726,0.8277918470713179,2017ausp,2017
146,frc6035,0.08421052631578947,0.1273209549071618,0.9802761341222881,0.2977561827810231,0.3180873180873181,0.8464172813487881,0.49907938642519145,2017ausp,2017
147,frc6063,0.06720647773279352,0.03183023872679045,0.9802761341222881,0.7154009936124912,0.3534303534303534,0.8464172813487881,0.5237568574714233,2017ausp,2017
148,frc6524,0.09716599190283402,0.03183023872679045,0.9802761341222881,0.5493257629524486,0.49480249480249483,0.47694942044257105,0.2852079706911823,2017ausp,2017
149,frc4802,0.08038277511961722,0.0,0.9300699300699301,0.32402090457448873,0.4594594594594595,0.6695205479452055,0.6639163467037007,2017ausp,2017
150,frc5564,0.011483253588516746,0.16927899686520376,0.9300699300699301,0.25782308536034587,0.29238329238329236,0.05821917808219169,0.6722489992647662,2017ausp,2017
151,frc4529,0.13492822966507176,0.0,0.9533799533799533,0.3414413833150526,0.3341523341523342,0.9315068493150686,0.9305612286577899,2017ausp,2017
152,frc4729,0.055502392344497616,0.4514106583072101,0.9533799533799533,0.33215046132008513,0.5429975429975431,0.9315068493150686,0.7458540968875095,2017ausp,2017
153,frc4739,0.0,0.0,0.9533799533799533,0.4180914897735338,0.37592137592137587,0.7568493150684932,0.7055796095090274,2017ausp,2017
154,frc5333,0.0,0.0,0.9533799533799533,0.46222336924962903,0.29238329238329236,0.0,0.5833673719467365,2017ausp,2017
155,frc5876,0.09856459330143541,0.018808777429467086,0.9533799533799533,0.5539712239499323,0.6265356265356267,0.8732876712328766,0.5000408463360835,2017ausp,2017
156,frc6007,0.0,0.0,0.9533799533799533,0.29614813858958644,0.41769041769041765,0.9606164383561644,0.4792092149334203,2017ausp,2017
157,frc6449,0.00478468899521531,0.0,0.9533799533799533,0.52609845796503,0.20884520884520882,0.6695205479452055,1.0,2017ausp,2017
158,frc6770,0.07464114832535886,0.0,0.9533799533799533,0.35073230531002,0.37592137592137587,0.6695205479452055,0.8097377665223433,2017ausp,2017
159,frc5988,0.009774436090225562,0.01477832512315271,0.9816849816849816,0.6588259150359931,0.5250965250965252,0.1954500978473581,0.49051781483772294,2017ausp,2017
160,frc4613,1.0,0.13793103448275862,0.9857549857549858,0.7877927608232789,0.8423423423423424,0.9832572298325724,0.5167061514582142,2017ausp,2017
161,frc6187,0.0591093117408907,0.0,0.960552268244576,0.4825025932194137,0.42411642411642414,0.35379346680716545,0.6847479781063639,2017ausp,2017
162,frc6440,0.027751196172248804,0.0,0.9766899766899767,0.5156461707206917,0.1670761670761671,0.8732876712328766,0.858344906461891,2017ausp,2017
