year,competition,match,mtype,bscore,rscore,blue_won,red_won,Blue_Traditional_Scoring_High,Blue_Traditional_Scoring_Low,Blue_Technical_Scoring,Blue_Autonomous_Scoring,Blue_Endgame,Blue_Fouls,Blue_Defense,Red_Traditional_Scoring_High,Red_Traditional_Scoring_Low,Red_Technical_Scoring,Red_Autonomous_Scoring,Red_Endgame,Red_Fouls,Red_Defense
2018,2018iscmp,2018iscmp_qf3m2,qf3m2,367,321,1,0,0.04501607717041801,1.0,0.9660297239915073,1.0,0.2222222222222222,0.0841121495327104,0.1702811244979918,0.8860817638952687,0.9012605042016806,0.8134667879890808,0.9329962073324906,0.4761904761904761,0.0,0.47160068846815834
2019,2019gaalb,2019gaalb_qm56,qm56,50,61,0,1,0.375,0.7881944444444443,0.6458333333333334,0.8666666666666667,0.2847222222222222,0.5293209876543209,0.6312335958005247,0.3333333333333333,0.5555555555555555,0.5520833333333334,0.888888888888889,0.3194444444444444,0.41358024691358014,0.5301837270341206
2019,2019mibb,2019mibb_qm16,qm16,58,73,0,1,0.38816738816738816,0.8249475890985325,0.5781119465329991,0.9333333333333332,0.41071428571428575,0.8778120360854175,0.7022060538221164,0.393939393939394,0.6750524109014675,0.5789473684210527,1.0,0.40277777777777785,0.934052757793765,0.7437153117858308
2019,2019dar,2019dar_qf3m3,qf3m3,68,113,0,1,0.4047619047619047,0.6805555555555557,0.6712962962962964,0.8222222222222223,0.4444444444444445,0.6666666666666666,0.6446140797285836,0.6428571428571429,0.9375,0.8020833333333334,0.775,0.6770833333333334,0.9642857142857143,0.9198473282442751
2019,2019gal,2019gal_sf2m2,sf2m2,90,105,0,1,0.6,0.9375,0.6549295774647887,0.9,0.4583333333333333,0.3571428571428572,0.5490196078431372,0.9333333333333332,0.9375,1.0,0.8000000000000002,0.5972222222222222,0.8571428571428572,0.32679738562091487
2019,2019milan,2019milan_qf1m2,qf1m2,60,91,0,1,0.0,0.75,0.4615384615384615,1.0,0.20833333333333334,1.0,0.0,1.0,0.9583333333333334,0.923076923076923,0.9333333333333332,0.5138888888888888,0.6578947368421053,1.0
2017,2017wapp,2017wapp_qm4,qm4,140,235,0,1,0.3360927152317881,0.3333333333333333,1.0,0.49257575757575767,0.8148148148148149,0.055555555555555546,0.6417910447761194,0.3333333333333333,0.3333333333333333,1.0,0.6304545454545455,0.6666666666666666,0.3333333333333333,0.5356550580431177
2019,2019utwv,2019utwv_qf4m3,qf4m3,64,70,0,1,0.0,0.9047619047619048,0.8666666666666666,1.0,0.5833333333333334,0.5555555555555556,0.7318295739348369,0.1391304347826087,0.8000000000000002,0.7999999999999999,0.9200000000000003,0.4166666666666667,1.0,0.7037593984962406
2017,2017alhu,2017alhu_sf1m3,sf1m3,312,261,1,0,0.0,0.0,1.0,0.6435786435786436,0.8571428571428572,0.7857142857142859,0.723327305605786,0.006986899563318778,0.0,1.0,0.7393939393939396,0.9333333333333332,1.0,1.0
2019,2019cthar,2019cthar_f1m1,f1m1,56,92,0,1,0.489795918367347,0.9655172413793104,0.8571428571428571,0.9142857142857143,0.30952380952380953,0.8831168831168833,0.14117647058823554,1.0,0.9195402298850576,1.0,1.0,0.4305555555555556,0.9696969696969697,1.0
2018,2018txpa,2018txpa_qm48,qm48,237,349,0,1,0.4683982683982684,0.8902377339403135,0.8107714701601164,0.7537537537537538,0.35185185185185186,0.5833333333333334,0.6426116838487972,0.24675324675324672,0.6632524026302479,0.5139192139737991,0.6959459459459459,0.4305555555555556,0.8708333333333332,0.39271907216494845
2018,2018wimi,2018wimi_sf1m2,sf1m2,189,440,0,1,0.28513708513708513,0.7308641975308644,0.7349753694581281,0.8140625,0.38888888888888884,0.362962962962963,0.43021933387489836,1.0,0.9469135802469135,1.0,1.0,0.425925925925926,0.7777777777777778,1.0
