,year,competition,match,mtype,bscore,rscore,blue_won,red_won,Blue_Traditional_Scoring_High,Blue_Traditional_Scoring_Low,Blue_Technical_Scoring,Blue_Autonomous_Scoring,Blue_Endgame,Blue_Fouls,Blue_Defense,Red_Traditional_Scoring_High,Red_Traditional_Scoring_Low,Red_Technical_Scoring,Red_Autonomous_Scoring,Red_Endgame,Red_Fouls,Red_Defense
14,2019,2019njski,2019njski_qf4m3,qf4m3,74,69,1,0,0.4464285714285714,0.890625,0.6,1.0,0.46875,0.8842592592592592,0.5123966942148761,0.8333333333333334,0.9166666666666666,0.8000000000000002,1.0,0.3333333333333333,0.7839506172839505,0.5564738292011019
15,2019,2019mimil,2019mimil_qf2m3,qf2m3,50,70,0,1,0.1403508771929824,0.880503144654088,0.5185185185185186,1.0,0.1666666666666666,0.3333333333333333,0.9971509971509964,0.2526315789473684,0.7396226415094341,0.6533333333333334,1.0,0.5,0.4666666666666666,0.7299145299145297
16,2017,2017misjo,2017misjo_qf1m1,qf1m1,200,265,0,1,0.0,0.0,1.0,0.5732484076433121,0.6666666666666666,1.0,0.4140624999999997,1.0,0.0246305418719211,1.0,0.924476797088262,0.7619047619047619,0.9428571428571428,1.0
17,2018,2018migay,2018migay_qf3m1,qf3m1,163,363,0,1,0.0047543581616481,0.7074074074074074,0.8674321503131525,0.3378378378378379,0.1666666666666666,0.0,0.0,0.6156893819334389,1.0,0.5996868475991649,1.0,0.125,1.0,0.7218543046357618
18,2018,2018onlon,2018onlon_f1m2,f1m2,366,299,1,0,1.0,0.9509530948811308,0.8401785714285713,0.9465165376495428,0.4537037037037037,1.0,0.9780924204001128,0.861198738170347,0.9576461769115442,0.8406249999999998,0.7912561576354681,0.6319444444444444,0.947653429602888,0.8431952662721892
19,2017,2017onto1,2017onto1_qf4m1,qf4m1,258,305,0,1,0.0076530612244897,0.0,1.0,0.8944444444444444,0.6000000000000001,0.6999999999999998,0.2321699544764796,0.2678571428571428,0.0,1.0,0.7944444444444444,0.9,1.0,0.3915022761760241
20,2018,2018cmptx,2018cmptx_sf1m7,sf1m7,309,436,0,1,0.5480314960629921,0.9883211678832116,0.75672131147541,0.8867924528301886,0.7777777777777777,0.8095238095238096,0.4232309746328438,0.5038120234970628,0.8463098134630981,0.5797553994275305,0.782869122491764,0.5291005291005291,0.8238851095993954,0.3599084493610529
21,2017,2017mdowi,2017mdowi_qf4m2,qf4m2,191,305,0,1,0.0,0.0,1.0,0.2066666666666666,0.7000000000000001,1.0,0.0,0.7714285714285715,0.0,1.0,0.8613333333333332,0.91,0.4800000000000001,0.6610169491525428
22,2018,2018pawch,2018pawch_qf4m2,qf4m2,360,305,1,0,0.5060240963855421,0.6119402985074627,0.3780487804878049,0.7922885572139303,0.2037037037037037,0.9032258064516128,0.4459161147902868,0.6237449799196787,0.8196517412935322,0.7073170731707318,0.552860696517413,0.3703703703703704,0.6774193548387096,1.0
24,2017,2017micmp1,2017micmp1_f1m2,f1m2,286,284,1,0,0.1211667913238593,0.0,1.0,1.0,0.9047619047619048,0.8285714285714286,0.5388828039430447,1.0,0.0,1.0,0.9391829155060352,0.9444444444444444,0.9250000000000002,1.0
25,2017,2017gush,2017gush_sf1m2,sf1m2,265,145,1,0,0.0,0.0,1.0,0.8959999999999999,0.7817460317460317,0.778998778998779,0.9166666666666666,0.0272340425531914,0.0,1.0,0.6527999999999999,0.6,0.6153846153846155,0.4342245989304813
26,2019,2019ndgf,2019ndgf_f1m1,f1m1,77,85,0,1,0.1538461538461538,0.9583333333333334,0.5,0.84375,0.5555555555555556,0.6,0.8289473684210528,1.0,0.9375,0.9375,0.9375,0.5555555555555556,0.4000000000000001,0.5877192982456141
27,2019,2019ohna3,2019ohna3_sf1m2,sf1m2,9,45,0,1,0.0,0.0,0.0,0.0,0.6,0.324074074074074,0.3793103448275861,0.0,0.6,0.3636363636363636,1.0,0.6666666666666666,1.0,0.2356321839080459
28,2018,2018ctsct,2018ctsct_qf3m1,qf3m1,191,357,0,1,0.0040927694406548,0.9768740031897926,0.670498084291188,0.6851211072664359,0.2777777777777778,0.5515695067264574,0.2660208643815203,1.0,0.9144072301967038,0.5661983822903364,1.0,0.4166666666666667,1.0,0.7913561847988079
29,2018,2018dar,2018dar_f1m3,f1m3,413,348,1,0,0.9493243243243242,0.998531571218796,0.7091836734693877,0.7935483870967742,0.6041666666666666,0.7407407407407406,0.7239932885906035,0.5725225225225224,0.9555800293685758,0.9348072562358276,0.9483870967741936,0.4958333333333333,0.7950617283950617,0.780536912751678
32,2018,2018marea,2018marea_qf2m1,qf2m1,372,374,0,1,0.5355828220858896,0.9266009852216748,1.0,0.8808510638297872,0.1555555555555555,0.6391304347826087,0.6207188160676532,0.2852760736196319,0.7980295566502461,0.5698005698005698,0.5602836879432623,0.2407407407407407,0.1086956521739131,0.2762508809020436
33,2018,2018cmpmi,2018cmpmi_sf1m8,sf1m8,380,311,1,0,1.0,1.0,0.7430939226519336,0.7530864197530865,0.6,0.4909090909090909,0.94452296819788,0.2807843137254902,1.0,0.3766114180478821,0.813443072702332,0.7000000000000001,0.7818181818181819,0.0473498233215544
34,2017,2017miwmi,2017miwmi_qf3m2,qf3m2,310,305,1,0,0.0,0.0,1.0,0.786096256684492,0.8666666666666667,0.6666666666666666,0.6487046632124357,0.0,0.1640624999999999,1.0,0.9358288770053476,1.0,0.0,0.5906735751295337
36,2018,2018gagai,2018gagai_qf4m1,qf4m1,217,348,0,1,0.0239808153477218,0.8171355498721228,1.0,0.8888888888888888,0.1666666666666666,0.0,0.1901743264659272,0.7536827680712572,0.7606868834490316,0.7667638483965015,0.4021164021164021,0.1904761904761904,0.8701298701298702,0.9972832239076296
37,2019,2019micmp3,2019micmp3_f1m3,f1m3,111,89,1,0,1.0,0.859375,1.0,1.0,0.4479166666666667,1.0,1.0,0.8793103448275862,0.84375,0.858695652173913,0.8000000000000002,0.4895833333333333,0.4166666666666667,0.672268907563025
39,2019,2019qcqc,2019qcqc_sf2m1,sf2m1,73,51,1,0,0.4081632653061224,0.9183673469387754,0.5882352941176471,0.9428571428571428,0.5714285714285713,0.3265306122448981,0.8530416951469583,0.0,0.7857142857142857,0.2745098039215686,1.0,0.4027777777777778,1.0,0.7177033492822967
41,2019,2019milin,2019milin_sf1m1,sf1m1,75,83,0,1,0.6,0.975,1.0,0.96,0.3666666666666667,1.0,0.393846153846153,0.9090909090909092,1.0,0.7624113475177307,0.9333333333333332,0.5416666666666666,0.5,0.9230769230769224
42,2019,2019casf,2019casf_qf2m3,qf2m3,56,74,0,1,0.0,0.94017094017094,0.5652173913043478,1.0,0.3055555555555555,1.0,0.5818181818181818,0.0499999999999999,1.0,0.7826086956521738,0.8000000000000002,0.35,0.0666666666666669,0.3763636363636364
43,2019,2019hiho,2019hiho_f1m1,f1m1,55,79,0,1,0.3703703703703704,1.0,0.813953488372093,1.0,0.3472222222222222,0.7567567567567567,0.6521739130434784,1.0,0.8000000000000002,1.0,1.0,0.5416666666666666,1.0,1.0
44,2019,2019vabrb,2019vabrb_qf4m2,qf4m2,0,1,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.9937205651491366,0.8571428571428571,0.36,0.6666666666666666,0.4000000000000001,0.162037037037037,1.0,0.4097331240188384
47,2018,2018pawch,2018pawch_qf1m3,qf1m3,320,426,0,1,0.5868473895582328,1.0,0.7073170731707318,0.8271144278606966,0.5185185185185185,0.8467741935483871,0.1214128035320087,0.5882530120481927,0.9388059701492536,0.8853658536585366,0.8305970149253733,0.6444444444444445,0.5645161290322579,0.4556291390728478
48,2019,2019njbe,2019njbe_sf2m1,sf2m1,62,69,0,1,1.0,0.75,0.8181818181818182,0.8000000000000002,0.4772727272727272,0.9302325581395348,0.4558011049723755,0.9696969696969696,0.75,1.0,1.0,0.3636363636363636,0.7906976744186047,0.972375690607735
49,2019,2019waamv,2019waamv_sf2m1,sf2m1,32,62,0,1,0.4499999999999999,0.7857142857142857,0.4821428571428571,0.8000000000000002,0.2380952380952381,0.6875,1.0,0.8999999999999999,0.7857142857142857,0.7633928571428571,0.6,0.5,0.8125,0.9195402298850572
50,2018,2018mibg,2018mibg_qf4m1,qf4m1,255,466,0,1,0.0784313725490196,0.6813725490196078,0.6774193548387096,0.4678362573099415,0.2777777777777777,0.4814814814814814,0.0871111111111109,0.3933823529411764,0.7712418300653594,0.7580645161290324,0.7543859649122807,0.2453703703703703,0.8302469135802468,0.4659259259259258
52,2019,2019mikng,2019mikng_qf1m1,qf1m1,54,61,0,1,0.0,0.7636363636363636,0.3333333333333333,1.0,0.25,0.9,0.7863924050632916,0.2777777777777778,1.0,0.5714285714285714,1.0,0.4761904761904762,0.7047619047619046,0.8860759493670888
54,2018,2018nvlv,2018nvlv_qf2m1,qf2m1,278,292,0,1,0.608811748998665,0.8464566929133858,0.7575757575757575,0.463235294117647,0.4166666666666667,0.3333333333333332,0.5044247787610618,0.3658210947930574,0.8464566929133858,0.6525252525252526,0.8088235294117646,0.4166666666666667,0.0666666666666667,0.3458134785568413
55,2019,2019iri,2019iri_qf3m2,qf3m2,83,87,0,1,0.56,0.8333333333333334,0.5426356589147286,1.0,0.5833333333333334,0.9333333333333332,0.8230852211434737,0.7600000000000001,0.7678571428571428,0.7441860465116278,1.0,0.4404761904761904,0.9714285714285714,0.8737864077669902
56,2019,2019oncmp1,2019oncmp1_qf4m2,qf4m2,55,71,0,1,0.0909090909090909,0.8444444444444444,0.3037974683544304,0.8253968253968255,0.5277777777777778,1.0,0.9810874704491724,0.2727272727272727,0.9866666666666668,0.5620253164556963,0.9523809523809522,0.6,0.7428571428571429,1.0
57,2019,2019flor,2019flor_qf1m1,qf1m1,57,75,0,1,0.4444444444444444,0.7264150943396226,0.8333333333333334,1.0,0.2083333333333333,1.0,0.173913043478261,0.7407407407407408,0.9465408805031448,0.9722222222222222,0.8000000000000002,0.5277777777777778,0.7575757575757575,0.6304347826086961
58,2019,2019tes,2019tes_qf1m1,qf1m1,104,99,1,0,0.8444444444444444,0.8541666666666666,1.0,1.0,0.5694444444444444,0.5666666666666667,0.2067307692307693,0.4666666666666666,1.0,0.9,0.8000000000000002,0.6666666666666666,0.6999999999999998,0.1298076923076921
59,2019,2019miket,2019miket_f1m2,f1m2,60,58,1,0,0.375,0.9575471698113208,1.0,0.975,0.2604166666666667,0.82,0.6308411214953271,1.0,1.0,0.9833887043189368,0.7428571428571428,0.5595238095238095,0.8171428571428572,0.8437917222963952
