,year,competition,match,mtype,bscore,rscore,blue_won,red_won,Blue_Traditional_Scoring_High,Blue_Traditional_Scoring_Low,Blue_Technical_Scoring,Blue_Autonomous_Scoring,Blue_Endgame,Blue_Fouls,Blue_Defense,Red_Traditional_Scoring_High,Red_Traditional_Scoring_Low,Red_Technical_Scoring,Red_Autonomous_Scoring,Red_Endgame,Red_Fouls,Red_Defense
207,2017,2017waspo,2017waspo_qf2m1,qf2m1,390,100,1,0,0.0914239482200647,0.0598591549295774,0.9234104046242774,0.6336358313817331,0.7150537634408601,0.6165540540540541,0.4950238853503183,0.0619509939898289,0.1059691482226693,0.9221717588769612,0.4812646370023419,0.5691244239631336,0.2750965250965251,0.410828025477707
230,2017,2017inmis,2017inmis_sf2m2,sf2m2,265,310,0,1,0.1619047619047618,0.0349264705882352,1.0,0.8944954128440367,0.8863224637681159,0.3984962406015036,0.1852805156214033,0.1528822055137844,0.0392156862745098,1.0,0.8248511186222437,0.9492753623188404,0.5112781954887217,0.6665201833134534
236,2017,2017mxtl,2017mxtl_qf4m2,qf4m2,135,155,0,1,0.0709951456310679,0.0166666666666666,0.9656170828809264,0.2740827682142236,0.3976608187134503,0.7886843899113837,0.4374320072917581,0.0335254854368932,0.1124999999999999,0.96742671009772,0.4734285341679707,0.8947368421052632,0.7222222222222222,0.2646753991355738
239,2019,2019mokc3,2019mokc3_sf1m1,sf1m1,84,58,1,0,0.604775828460039,0.8539094650205761,0.8884773662551441,0.9578544061302684,0.419753086419753,0.5844838921761998,0.3139252789907806,0.6929824561403509,0.8986928104575164,0.8703703703703703,0.949290060851927,0.6111111111111112,0.5644506323239354,0.437965579244798
261,2019,2019ftcmp,2019ftcmp_sf1m2,sf1m2,111,125,0,1,0.7752403846153846,0.8639937106918238,0.8728070175438596,0.9125,0.5052083333333334,0.6133333333333333,0.1451807228915663,0.814102564102564,0.8364779874213836,0.9103313840155948,0.9296296296296296,0.5833333333333333,0.5674074074074075,0.1710843373493978
270,2019,2019cmpmi,2019cmpmi_sf1m11,sf1m11,85,83,1,0,0.7209876543209877,0.8375,0.8055555555555557,0.9133333333333334,0.6166666666666667,1.0,0.6331615120274915,0.7999999999999999,0.85,0.8703703703703703,1.0,0.4666666666666666,0.3142857142857143,0.0
273,2017,2017casj,2017casj_sf1m1,sf1m1,310,509,0,1,0.0402757619738751,0.0,1.0,0.5255532139093784,0.8846153846153846,0.6843891402714931,0.1373797689247643,0.7128930817610063,0.0620689655172413,1.0,0.8331050228310503,0.9333333333333332,0.8558823529411764,0.6527685195140309
282,2019,2019oncmp2,2019oncmp2_qf4m2,qf4m2,85,67,1,0,0.4661214953271028,0.8180555555555555,0.5848445595854922,0.95,0.5196428571428572,0.8473557692307692,0.6156914893617023,0.4566088117489986,0.7807760141093475,0.5551443375277573,0.9714285714285714,0.6,0.7760989010989011,0.7446808510638298
284,2019,2019chcmp,2019chcmp_sf1m1,sf1m1,72,79,0,1,0.8881330309901738,0.7816091954022989,0.9237588652482268,0.9555555555555554,0.4603174603174603,0.6,0.265588914549653,0.3835978835978835,0.9144316730523628,0.6474586288416075,0.9444444444444444,0.4351851851851852,0.5155555555555557,0.8768283294842186
295,2017,2017cacc,2017cacc_qf4m1,qf4m1,305,316,0,1,0.0996453593979759,0.1818181818181818,0.9922299922299924,0.481962481962482,0.604040404040404,0.5272727272727272,0.5086010753155661,0.1830539900949035,0.05,1.0,0.5088726088726089,0.8383333333333334,0.3984615384615385,0.3941556610136237
297,2019,2019nccmp,2019nccmp_sf1m2,sf1m2,72,85,0,1,0.441532258064516,0.876750700280112,0.8174999999999999,0.9375,0.5028248587570622,0.6219135802469137,0.2465753424657537,0.8494623655913979,0.9088079676314972,0.8733333333333332,0.8798449612403102,0.4921531701192718,0.7791495198902606,0.8849991544055476
298,2017,2017gacol,2017gacol_sf2m2,sf2m2,255,280,0,1,0.1098039215686274,0.1155830753353973,0.9899446958270488,0.5996661777350666,0.8431372549019608,0.3444321124676286,0.39133147786813,0.4421052631578948,0.0,0.9955015744489428,0.8887933505302379,0.7894736842105262,0.7987421383647799,0.3592488545829974
302,2017,2017mabri,2017mabri_qf2m2,qf2m2,195,265,0,1,0.0669371196754563,0.0941176470588235,1.0,0.4387205387205387,0.6243386243386243,0.7188571428571429,0.4968152866242039,0.043813387423935,0.0039215686274509,0.9871794871794872,0.5391414141414141,0.8809523809523809,0.8022857142857144,0.2160509554140125
303,2017,2017cabl,2017cabl_f1m2,f1m2,311,318,0,1,0.1276959214178945,0.1234567901234567,1.0,0.6896006326611309,0.8412698412698413,0.8279569892473116,0.7353704813261431,0.7234678624813154,0.0123456790123456,1.0,0.9456306840648476,0.9365079365079364,0.7652329749103942,0.3608947473537049
315,2019,2019onnob,2019onnob_qf3m2,qf3m2,41,81,0,1,0.3119868637110016,0.8936170212765958,0.4456140350877193,0.9428571428571428,0.3489795918367347,0.5448979591836733,0.3067655236329937,0.7471264367816093,0.8518103770063457,0.7963065558633425,0.9052631578947368,0.6476190476190476,0.8894736842105262,0.6156285059265402
343,2019,2019onnyo,2019onnyo_sf2m3,sf2m3,40,39,1,0,0.7361111111111112,0.8109559613319011,0.6915389740173218,0.899641577060932,0.2652631578947368,0.6070718032193886,0.7269912749788907,0.3104575163398693,0.8403361344537813,0.7505584512285927,0.8492515285684167,0.3019607843137255,0.7372144734182332,0.4809688581314876
352,2019,2019txelp,2019txelp_sf1m1,sf1m1,24,0,1,0,0.0869281045751634,0.5853658536585367,0.4124649859943978,0.8471662637657801,0.3391864208369915,0.7083333333333334,0.4241143971400716,0.7000000000000001,0.82798459563543,0.8452380952380952,0.9863013698630136,0.4825870646766169,0.5087719298245613,0.5333914897741592
363,2019,2019cmpmi,2019cmpmi_sf1m5,sf1m5,81,114,0,1,0.7999999999999999,0.85,0.8703703703703703,1.0,0.4666666666666666,0.3142857142857143,0.0,0.8296296296296296,0.925,0.925925925925926,1.0,0.4499999999999999,0.7714285714285715,0.8247422680412376
364,2019,2019mishe,2019mishe_qf3m1,qf3m1,43,64,0,1,0.46875,0.6137566137566137,0.5534591194968553,0.8522727272727274,0.2037037037037037,0.5092592592592592,0.5295099061522417,0.6481481481481483,0.8367626886145404,0.7019566736547868,0.9507575757575758,0.5137174211248285,0.5967078189300412,0.4861313868613137
