,Unnamed: 0,Robot,Traditional_Scoring_High,Traditional_Scoring_Low,Technical_Scoring,Autonomous_Scoring,Endgame,Fouls,Defense,Competition,Year
0,0,frc1482,0.5993031358885018,0.0011230219499744,1.0,0.6807241746538872,0.8307692307692308,1.0,0.3050337916569565,2017abca,2017
1,1,frc2122,1.0,0.0011230219499744,1.0,0.943237486687966,0.9846153846153848,0.8689320388349515,0.4680727103239339,2017abca,2017
2,2,frc2130,0.0311100049776007,0.0,1.0,0.7671725239616614,0.7252747252747254,0.8408460471567267,0.5625561807104574,2017abca,2017
3,3,frc216,0.0667828106852497,0.015441551812149,1.0,0.6347843450479234,0.9615384615384616,0.9526699029126212,0.4498077371242138,2017abca,2017
4,4,frc244,0.002049600327936,0.07629943248356,1.0,0.8642172523961662,0.9230769230769232,0.7352941176470588,0.2378096426172429,2017abca,2017
5,5,frc288,0.0450058072009291,0.044920877998979,1.0,0.7479366347177849,0.8846153846153847,0.8434466019417476,0.4949895129340479,2017abca,2017
6,6,frc3216,0.0329074719318621,0.0018717032499574,0.9715099715099714,0.4345047923322684,0.5641025641025642,0.2669902912621358,0.2437660219063157,2017abca,2017
7,7,frc3354,0.0,0.0,1.0,0.549302933488237,0.6713286713286715,0.6862312444836717,0.4603821952924726,2017abca,2017
8,8,frc3933,0.0538485904339562,0.1271056661562021,1.0,0.6431164681963405,0.7552447552447552,0.8451015004413062,0.4257748776508969,2017abca,2017
9,9,frc4010,0.0158378207158694,0.001531393568147,1.0,0.5431309904153355,0.7132867132867132,0.527360988526037,0.0,2017abca,2017
10,10,frc4191,0.0,0.0683722187190343,1.0,0.6669329073482428,0.7873303167420815,0.8766419189034838,0.1495949113740115,2017abca,2017
11,11,frc4334,0.578397212543554,0.0011230219499744,1.0,0.8690095846645368,0.9230769230769232,0.7961165048543688,0.4542297832673036,2017abca,2017
12,12,frc4604,0.039198606271777,0.0,0.9572649572649572,0.6958865814696485,0.8076923076923078,0.5157766990291262,0.2652353763691446,2017abca,2017
13,13,frc4625,0.0038714672861014,0.0018717032499574,0.9430199430199432,0.4224352147674832,0.4102564102564103,0.3398058252427184,0.5757399207643908,2017abca,2017
14,14,frc4627,0.0721752115480338,0.1684532924961715,1.0,0.9242925604746692,0.7252747252747254,0.8720527045769764,0.8913256983054234,2017abca,2017
15,15,frc4634,0.0232288037166085,0.1553513697464693,0.9430199430199432,0.4224352147674832,0.6666666666666669,0.5582524271844661,1.0,2017abca,2017
16,16,frc4733,0.05420054200542,0.0149736259996596,1.0,0.792066027689031,0.4102564102564103,0.8252427184466019,0.6065019808902355,2017abca,2017
17,17,frc4774,0.0493612078977932,0.0,0.9786324786324786,0.6834398296059638,0.8076923076923078,0.5703883495145631,0.3171463528315079,2017abca,2017
18,18,frc5015,0.0,0.0,1.0,1.0,0.8959276018099548,0.6581953169617362,0.1747021810355463,2017abca,2017
19,19,frc5078,0.001244400199104,0.0721942682126449,0.9633699633699634,0.6527270652670013,0.8241758241758242,0.6536061026352288,0.1645720278323402,2017abca,2017
20,20,frc5118,0.1664730933023616,0.0,0.9430199430199432,0.2579872204472843,0.5641025641025642,0.4368932038834951,0.6962246562572829,2017abca,2017
